roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,usable_battery_kwh,annual_generation,old_final_cost,new_final_cost,cost_diff,cost_diff_rate,old_payback_years,new_payback_years,payback_diff_years,old_discounted_payback_years,new_discounted_payback_years,discounted_payback_diff_years,old_avg_annual_savings,new_avg_annual_savings,annual_savings_diff,old_irr,new_irr,irr_diff,old_total_20y_savings,new_total_20y_savings,total_savings_diff
50,45,19.8,9.3,28.04,25.24,30214.8,21317.221599999997,21771.9176,454.69600000000355,2.1329984203945394,6.381358794326576,6.50917755507438,0.12781876074780385,6.656021746760278,6.766751504145073,0.11072975738479585,3628.743407217838,3628.743407217838,0.0,17.185000110475812,16.838337761873845,-0.3466623486019671,96035.38699344551,96035.38699344551,0.0
51,45,19.8,9.3,28.04,25.24,30214.8,21317.221599999997,21771.9176,454.69600000000355,2.1329984203945394,6.381358794326576,6.50917755507438,0.12781876074780385,6.656021746760278,6.766751504145073,0.11072975738479585,3628.743407217838,3628.743407217838,0.0,17.185000110475812,16.838337761873845,-0.3466623486019671,96035.38699344551,96035.38699344551,0.0
52,46,20.24,19.5,50.32,45.29,30886.239999999998,36092.338879999996,38026.22688,1933.8880000000063,5.358167577972178,9.82098251549998,10.253789161369399,0.4328066458694195,10.42456784094634,10.836289091522124,0.4117212505757841,3684.9326063864196,3684.9326063864196,0.0,9.916755357699003,9.284610150643857,-0.6321452070551459,97394.03741364063,97394.03741364063,0.0
53,47,20.68,19.5,50.32,45.29,31557.68,36158.82816,38125.93616,1967.1080000000002,5.4401873625320505,9.732538242254078,10.16138113443979,0.4288428921857115,10.31892539235489,10.748468380881967,0.42954298852707673,3741.1218055550025,3741.1218055550025,0.0,10.071308272745227,9.425410348194418,-0.645897924550809,98752.68783383575,98752.68783383575,0.0
54,48,21.12,19.5,50.32,45.29,32229.120000000003,36225.317440000006,38225.64544,2000.327999999994,5.521906062833369,9.640803399915503,10.054546539573282,0.41374313965777887,10.219909616763243,10.658158243630067,0.43824862686682486,3797.311004723585,3797.311004723585,0.0,10.224549765553093,9.564828318252694,-0.6597214473003987,100111.33825403091,100111.33825403091,0.0
55,49,21.56,19.5,50.32,45.29,32900.56,36291.80671999999,38325.35472,2033.5480000000098,5.6033253337022355,9.54237635345857,9.9409768159646,0.39860046250603,10.109082219781776,10.563302816269795,0.45422059648801927,3853.5002038921666,3853.5002038921666,0.0,10.37650883445167,9.702894052315969,-0.6736147821357008,101469.98867422607,101469.98867422607,0.0
56,50,22.0,19.5,50.32,45.29,33572.0,36358.295999999995,38425.064,2066.7680000000037,5.684446817859682,9.433912276123257,9.84473385328984,0.4108215771665833,9.99456916242635,10.458921659121652,0.46435249669530165,3909.6894030607496,3909.6894030607496,0.0,10.52721342057339,9.839636477045133,-0.6875769435282564,102828.63909442125,102828.63909442125,0.0
57,51,22.44,19.5,50.32,45.29,34243.44,36424.78528,38524.773279999994,2099.9879999999976,5.765272146032531,9.336842826155161,9.766198313207973,0.42935548705281157,9.87132804977365,10.360291505374631,0.488963455600981,3965.8786022293316,3965.8786022293316,0.0,10.676690465334104,9.975083504832583,-0.7016069605015218,104187.28951461636,104187.28951461636,0.0
58,52,22.88,19.5,50.32,45.29,34914.88,36491.274560000005,38624.482560000004,2133.2079999999987,5.845802937062439,9.249647442551323,9.687339235891352,0.4376917933400293,9.780654402876612,10.272330876110788,0.4916764732341754,4022.0678013979145,4022.0678013979145,0.0,10.824965954088839,10.109262081095949,-0.71570387299289,105545.93993481145,105545.93993481145,0.0
59,53,23.32,19.5,50.32,45.29,35586.32,36557.76384000001,38724.19184,2166.4279999999926,5.926040798013952,9.157378646050065,9.605939430739479,0.4485607846894144,9.693113913334097,10.184143705806601,0.49102979247250467,4078.2570005664957,4078.2570005664957,0.0,10.972064964880701,10.24219823157182,-0.7298667333088815,106904.59035500667,106904.59035500667,0.0
60,54,23.76,19.5,50.32,45.29,36257.76,36624.253119999994,38823.901119999995,2199.648000000001,6.00598732428158,9.05028280725393,9.517152300550189,0.46686949329625804,9.60226226405375,10.081714821190646,0.47945255713689683,4134.446199735079,4134.446199735079,0.0,11.118011706275865,10.373917102697305,-0.74409460357856,108263.2407752018,108263.2407752018,0.0
61,54,23.76,19.5,50.32,45.29,36257.76,36624.253119999994,38823.901119999995,2199.648000000001,6.00598732428158,9.05028280725393,9.517152300550189,0.46686949329625804,9.60226226405375,10.081714821190646,0.47945255713689683,4134.446199735079,4134.446199735079,0.0,11.118011706275865,10.373917102697305,-0.74409460357856,108263.2407752018,108263.2407752018,0.0
62,55,24.2,19.5,50.32,45.29,36929.2,36690.7424,38923.610400000005,2232.868000000002,6.085644099695301,8.942445203252738,9.421930314391133,0.47948511113839487,9.502134490161762,9.979951607759299,0.477817117597537,4190.635398903661,4190.635398903661,0.0,11.262829562474508,10.504443005629582,-0.7583865568449255,109621.89119539692,109621.89119539692,0.0
63,56,24.64,19.5,50.32,45.29,37600.64,36757.231680000004,39023.31968,2266.087999999996,6.165012696625351,8.855213734560405,9.339087925000058,0.4838741904396535,9.397327091034343,9.87453998690656,0.47721289587221705,4246.824598072243,4246.824598072243,0.0,11.406541128235403,10.633799450442893,-0.77274167779251,110980.54161559204,110980.54161559204,0.0
