roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,old_pre_tax,new_pre_tax,market_pre_tax,old_vs_new_diff,old_vs_new_rate,new_vs_market_diff,new_vs_market_rate,subsidy,old_final,new_final,market_final
48,43,18.92,9.3,28.04,33957.04,33888.18,46960.0,-68.86000000000058,-0.20278563738182295,13071.82,38.573390486004264,16168.50096,21184.24304,21108.497040000002,35487.49904
49,44,19.36,9.3,28.04,34146.84,34105.54,47400.0,-41.299999999995634,-0.12094823415576855,13294.46,38.98035333848987,16310.79168,21250.732319999996,21205.302319999995,35829.20832
50,45,19.8,9.3,28.04,34336.64,34322.9,47840.0,-13.739999999997963,-0.040015563549601715,13517.099999999999,39.382161763720426,16453.0824,21317.221599999997,21302.107600000003,36170.9176
51,45,19.8,9.3,28.04,34336.64,34322.9,47840.0,-13.739999999997963,-0.040015563549601715,13517.099999999999,39.382161763720426,16453.0824,21317.221599999997,21302.107600000003,36170.9176
52,46,20.24,19.5,50.32,53687.92,54762.86,70560.0,1074.9400000000023,2.0022008675322165,15797.14,28.846448121957106,22964.37312,36092.338879999996,37274.772880000004,54651.626879999996
53,47,20.68,19.5,50.32,53877.72,54980.22,71000.0,1102.5,2.046300400239654,16019.779999999999,29.13735157844039,23106.66384,36158.82816,37371.57816,54993.33616
54,48,21.12,19.5,50.32,54067.520000000004,55197.58,71440.0,1130.0599999999977,2.0900903167002993,16242.419999999998,29.4259639643622,23248.95456,36225.317440000006,37468.383440000005,55335.04544
55,49,21.56,19.5,50.32,54257.32,55414.94,71880.0,1157.6200000000026,2.133573866162211,16465.059999999998,29.712312239262545,23391.24528,36291.80671999999,37565.188720000006,55676.75472
56,50,22.0,19.5,50.32,54447.119999999995,55632.3,72320.0,1185.1800000000076,2.1767542525665413,16687.699999999997,29.996422941348815,23533.536,36358.295999999995,37661.994000000006,56018.464
57,51,22.44,19.5,50.32,54636.92,55849.66,72760.0,1212.7400000000052,2.219634635334505,16910.339999999997,30.278322195694646,23675.82672,36424.78528,37758.79928000001,56360.17328
