房屋ID,州,电网相位,方案类型,PV容量(数值),PV容量单位,面板数量,逆变器原始功率(数值),逆变器最终功率(数值),逆变器单位,逆变器说明,容配比(数值),容配比单位,电池容量(数值),电池单位,补贴(数值),补贴单位,定价A含税价,定价A最终报价,定价A_kW单价,定价B含税价,定价B最终报价,定价B_kW单价,价格差异(A-B),使用坡面数
2406,QLD,single,高端型,17.16,kW,39,9.533333333333333,10,kW,"原始推导 9.5kW，按规格向上取整，最终采用 10kW",172,%,25.7,kWh,14547,AUD,37765,23218,1353,32228,17681,1030,5537,7
2406,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,6
2406,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
2407,QLD,single,高端型,16.28,kW,37,9.044444444444444,10,kW,"原始推导 9.0kW，按规格向上取整，最终采用 10kW",163,%,24.4,kWh,13806,AUD,35986,22180,1362,30727,16921,1039,5259,4
2407,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,4
2407,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
2408,QLD,single,高端型,16.28,kW,37,9.044444444444444,10,kW,"原始推导 9.0kW，按规格向上取整，最终采用 10kW",163,%,24.4,kWh,13806,AUD,35986,22180,1362,30727,16921,1039,5259,4
2408,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,4
2408,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
2409,QLD,single,高端型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,9.1,kWh,4212,AUD,11352,7140,2029,11286,7074,2010,66,2
2409,QLD,single,平衡型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,6.6,kWh,3354,AUD,8947,5593,1589,9340,5986,1701,-393,2
2409,QLD,single,经济型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,4.4,kWh,2652,AUD,6867,4215,1197,7657,5005,1422,-790,2
2410,QLD,single,高端型,11.44,kW,26,6.355555555555555,7,kW,"原始推导 6.4kW，按规格向上取整，最终采用 7kW",163,%,17.2,kWh,9672,AUD,25279,15607,1364,22475,12803,1119,2804,4
2410,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,3
2410,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
2411,QLD,single,高端型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,9.1,kWh,3900,AUD,10830,6930,2625,10626,6726,2548,203,2
2411,QLD,single,平衡型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,6.6,kWh,3042,AUD,8425,5383,2039,8680,5638,2136,-255,2
2411,QLD,single,经济型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,4.4,kWh,2340,AUD,6344,4004,1517,6997,4657,1764,-652,2
2412,QLD,single,高端型,3.96,kW,9,2.1999999999999997,3,kW,"原始推导 2.2kW，按规格向上取整，最终采用 3kW",132,%,9.1,kWh,4368,AUD,11922,7554,1908,11616,7248,1830,305,4
2412,QLD,single,平衡型,3.96,kW,9,2.1999999999999997,3,kW,"原始推导 2.2kW，按规格向上取整，最终采用 3kW",132,%,6.6,kWh,3510,AUD,9517,6007,1517,9670,6160,1556,-153,4
2412,QLD,single,经济型,3.96,kW,9,2.1999999999999997,3,kW,"原始推导 2.2kW，按规格向上取整，最终采用 3kW",132,%,4.4,kWh,2808,AUD,7437,4629,1169,7987,5179,1308,-550,4
2413,QLD,single,高端型,14.08,kW,32,7.822222222222222,8,kW,"原始推导 7.8kW，按规格向上取整，最终采用 8kW",176,%,21.1,kWh,11895,AUD,30923,19028,1351,26976,15081,1071,3947,6
2413,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,5
2413,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
2414,QLD,single,高端型,7.48,kW,17,4.155555555555556,5,kW,"原始推导 4.2kW，按规格向上取整，最终采用 5kW",150,%,11.2,kWh,6279,AUD,16659,10380,1388,15723,9444,1263,936,3
2414,QLD,single,平衡型,7.48,kW,17,4.155555555555556,5,kW,"原始推导 4.2kW，按规格向上取整，最终采用 5kW",150,%,7.5,kWh,5070,AUD,13100,8030,1074,12844,7774,1039,257,3
2414,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
2415,QLD,single,高端型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,15.2,kWh,8580,AUD,22303,13723,1356,20225,11645,1151,2078,4
2415,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,4
2415,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
2416,QLD,single,高端型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,9.1,kWh,4680,AUD,12445,7765,1604,12276,7596,1570,168,4
2416,QLD,single,平衡型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,6.6,kWh,3822,AUD,10039,6217,1285,10330,6508,1345,-291,4
2416,QLD,single,经济型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,4.4,kWh,3120,AUD,7959,4839,1000,8647,5527,1142,-687,4
2417,QLD,single,高端型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,9.1,kWh,4212,AUD,11352,7140,2029,11286,7074,2010,66,2
2417,QLD,single,平衡型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,6.6,kWh,3354,AUD,8947,5593,1589,9340,5986,1701,-393,2
2417,QLD,single,经济型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,4.4,kWh,2652,AUD,6867,4215,1197,7657,5005,1422,-790,2
2418,QLD,single,高端型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,9.1,kWh,3900,AUD,10830,6930,2625,10626,6726,2548,203,3
2418,QLD,single,平衡型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,6.6,kWh,3042,AUD,8425,5383,2039,8680,5638,2136,-255,3
2418,QLD,single,经济型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,4.4,kWh,2340,AUD,6344,4004,1517,6997,4657,1764,-652,3
2419,QLD,single,高端型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,9.1,kWh,4212,AUD,11352,7140,2029,11286,7074,2010,66,4
2419,QLD,single,平衡型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,6.6,kWh,3354,AUD,8947,5593,1589,9340,5986,1701,-393,4
2419,QLD,single,经济型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,4.4,kWh,2652,AUD,6867,4215,1197,7657,5005,1422,-790,4
2420,QLD,single,高端型,18.92,kW,43,10.511111111111111,10,kW,"原始推导 10.5kW，受单相上限 10kW 限制，最终采用 10kW",189,%,28.4,kWh,16029,AUD,41322,25293,1337,35229,19200,1015,6093,4
2420,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,3
2420,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
2421,QLD,single,高端型,3.08,kW,7,1.711111111111111,2,kW,"原始推导 1.7kW，按规格向上取整，最终采用 2kW",154,%,9.1,kWh,4056,AUD,11091,7035,2284,10956,6900,2240,135,2
2421,QLD,single,平衡型,3.08,kW,7,1.711111111111111,2,kW,"原始推导 1.7kW，按规格向上取整，最终采用 2kW",154,%,6.6,kWh,3198,AUD,8686,5488,1782,9010,5812,1887,-324,2
2421,QLD,single,经济型,3.08,kW,7,1.711111111111111,2,kW,"原始推导 1.7kW，按规格向上取整，最终采用 2kW",154,%,4.4,kWh,2496,AUD,6606,4110,1334,7327,4831,1568,-721,2
2422,QLD,single,高端型,20.00,kW,45,19.555555555555557,10,kW,"原始推导 19.6kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,7
2422,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,3
2422,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
2423,QLD,single,高端型,3.96,kW,9,2.1999999999999997,3,kW,"原始推导 2.2kW，按规格向上取整，最终采用 3kW",132,%,9.1,kWh,4368,AUD,11922,7554,1908,11616,7248,1830,305,4
2423,QLD,single,平衡型,3.96,kW,9,2.1999999999999997,3,kW,"原始推导 2.2kW，按规格向上取整，最终采用 3kW",132,%,6.6,kWh,3510,AUD,9517,6007,1517,9670,6160,1556,-153,4
2423,QLD,single,经济型,3.96,kW,9,2.1999999999999997,3,kW,"原始推导 2.2kW，按规格向上取整，最终采用 3kW",132,%,4.4,kWh,2808,AUD,7437,4629,1169,7987,5179,1308,-550,4
2424,QLD,single,高端型,8.80,kW,20,4.888888888888889,5,kW,"原始推导 4.9kW，按规格向上取整，最终采用 5kW",176,%,13.2,kWh,7449,AUD,19327,11878,1350,17974,10525,1196,1353,5
2424,QLD,single,平衡型,8.80,kW,20,4.888888888888889,5,kW,"原始推导 4.9kW，按规格向上取整，最终采用 5kW",176,%,8.8,kWh,6006,AUD,15140,9134,1038,14586,8580,975,554,5
2424,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
2425,QLD,single,高端型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,9.1,kWh,3900,AUD,10830,6930,2625,10626,6726,2548,203,2
2425,QLD,single,平衡型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,6.6,kWh,3042,AUD,8425,5383,2039,8680,5638,2136,-255,2
2425,QLD,single,经济型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,4.4,kWh,2340,AUD,6344,4004,1517,6997,4657,1764,-652,2
2426,QLD,single,高端型,11.00,kW,25,6.111111111111111,7,kW,"原始推导 6.1kW，按规格向上取整，最终采用 7kW",157,%,16.5,kWh,9321,AUD,24390,15069,1370,21725,12404,1128,2665,4
2426,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,4
2426,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
2427,QLD,single,高端型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,9.1,kWh,4212,AUD,11352,7140,2029,11286,7074,2010,66,3
2427,QLD,single,平衡型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,6.6,kWh,3354,AUD,8947,5593,1589,9340,5986,1701,-393,3
2427,QLD,single,经济型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,4.4,kWh,2652,AUD,6867,4215,1197,7657,5005,1422,-790,3
2428,QLD,single,高端型,10.56,kW,24,5.866666666666667,6,kW,"原始推导 5.9kW，按规格向上取整，最终采用 6kW",176,%,15.8,kWh,8931,AUD,23192,14261,1351,20975,12044,1141,2218,6
2428,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,5
2428,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
2429,QLD,single,高端型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,9.9,kWh,5538,AUD,14572,9034,1369,14223,8685,1316,349,4
2429,QLD,single,平衡型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,6.6,kWh,4485,AUD,11432,6947,1053,11682,7197,1090,-250,4
2429,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
2430,QLD,single,高端型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,9.1,kWh,4680,AUD,12445,7765,1604,12276,7596,1570,168,3
2430,QLD,single,平衡型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,6.6,kWh,3822,AUD,10039,6217,1285,10330,6508,1345,-291,3
2430,QLD,single,经济型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,4.4,kWh,3120,AUD,7959,4839,1000,8647,5527,1142,-687,3
2431,QLD,single,高端型,10.56,kW,24,5.866666666666667,6,kW,"原始推导 5.9kW，按规格向上取整，最终采用 6kW",176,%,15.8,kWh,8931,AUD,23192,14261,1351,20975,12044,1141,2218,4
2431,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,4
2431,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
2432,QLD,single,高端型,15.84,kW,36,8.799999999999999,9,kW,"原始推导 8.8kW，按规格向上取整，最终采用 9kW",176,%,23.8,kWh,13377,AUD,34789,21412,1352,29977,16600,1048,4811,4
2432,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,4
2432,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
2433,QLD,single,高端型,11.44,kW,26,6.355555555555555,7,kW,"原始推导 6.4kW，按规格向上取整，最终采用 7kW",163,%,17.2,kWh,9672,AUD,25279,15607,1364,22475,12803,1119,2804,5
2433,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,5
2433,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
2434,QLD,single,高端型,2.20,kW,5,1.2222222222222223,2,kW,"原始推导 1.2kW，按规格向上取整，最终采用 2kW",110,%,9.1,kWh,3744,AUD,10568,6824,3102,10296,6552,2978,272,1
2434,QLD,single,平衡型,2.20,kW,5,1.2222222222222223,2,kW,"原始推导 1.2kW，按规格向上取整，最终采用 2kW",110,%,6.6,kWh,2886,AUD,8163,5277,2399,8350,5464,2484,-187,1
2434,QLD,single,经济型,2.20,kW,5,1.2222222222222223,2,kW,"原始推导 1.2kW，按规格向上取整，最终采用 2kW",110,%,4.4,kWh,2184,AUD,6083,3899,1772,6667,4483,2038,-584,1
2435,QLD,single,高端型,4.40,kW,10,2.4444444444444446,3,kW,"原始推导 2.4kW，按规格向上取整，最终采用 3kW",147,%,9.1,kWh,4524,AUD,12183,7659,1741,11946,7422,1687,237,3
2435,QLD,single,平衡型,4.40,kW,10,2.4444444444444446,3,kW,"原始推导 2.4kW，按规格向上取整，最终采用 3kW",147,%,6.6,kWh,3666,AUD,9778,6112,1389,10000,6334,1440,-222,3
2435,QLD,single,经济型,4.40,kW,10,2.4444444444444446,3,kW,"原始推导 2.4kW，按规格向上取整，最终采用 3kW",147,%,4.4,kWh,2964,AUD,7698,4734,1076,8317,5353,1217,-619,3
2436,QLD,single,高端型,18.92,kW,43,10.511111111111111,10,kW,"原始推导 10.5kW，受单相上限 10kW 限制，最终采用 10kW",189,%,28.4,kWh,16029,AUD,41322,25293,1337,35229,19200,1015,6093,4
2436,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,3
2436,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
2437,QLD,single,高端型,12.76,kW,29,7.088888888888889,8,kW,"原始推导 7.1kW，按规格向上取整，最终采用 8kW",160,%,19.1,kWh,10803,AUD,28255,17452,1368,24726,13923,1091,3529,4
2437,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,4
2437,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
2438,QLD,single,高端型,12.32,kW,28,6.844444444444444,7,kW,"原始推导 6.8kW，按规格向上取整，最终采用 7kW",176,%,18.5,kWh,10413,AUD,27058,16645,1351,23976,13563,1101,3082,4
2438,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,4
2438,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
2439,QLD,single,高端型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,9.1,kWh,3588,AUD,9999,6411,3643,9966,6378,3624,33,2
2439,QLD,single,平衡型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,6.6,kWh,2730,AUD,7594,4864,2764,8020,5290,3006,-426,2
2439,QLD,single,经济型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,4.4,kWh,2028,AUD,5514,3486,1981,6337,4309,2448,-823,2
2440,QLD,single,高端型,5.72,kW,13,3.1777777777777776,4,kW,"原始推导 3.2kW，按规格向上取整，最终采用 4kW",143,%,9.1,kWh,4992,AUD,13275,8283,1448,12936,7944,1389,339,4
2440,QLD,single,平衡型,5.72,kW,13,3.1777777777777776,4,kW,"原始推导 3.2kW，按规格向上取整，最终采用 4kW",143,%,6.6,kWh,4134,AUD,10870,6736,1178,10990,6856,1199,-120,4
2440,QLD,single,经济型,5.72,kW,13,3.1777777777777776,4,kW,"原始推导 3.2kW，按规格向上取整，最终采用 4kW",143,%,4.6,kWh,3510,AUD,8984,5474,957,9464,5954,1041,-480,4
2441,QLD,single,高端型,20.00,kW,45,14.177777777777777,10,kW,"原始推导 14.2kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,2
2441,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,2
2441,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
2442,QLD,single,高端型,15.40,kW,35,8.555555555555555,9,kW,"原始推导 8.6kW，按规格向上取整，最终采用 9kW",171,%,23.1,kWh,13026,AUD,33899,20873,1355,29227,16201,1052,4672,5
2442,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,5
2442,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
2443,QLD,single,高端型,11.88,kW,27,6.6000000000000005,7,kW,"原始推导 6.6kW，按规格向上取整，最终采用 7kW",170,%,17.8,kWh,10062,AUD,26168,16106,1356,23225,13163,1108,2943,4
2443,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,4
2443,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
2444,QLD,single,高端型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,15.2,kWh,8580,AUD,22303,13723,1356,20225,11645,1151,2078,4
2444,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,4
2444,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
2446,QLD,single,高端型,1.32,kW,3,0.7333333333333334,1,kW,"原始推导 0.7kW，按规格向上取整，最终采用 1kW",132,%,9.1,kWh,3432,AUD,9738,6306,4777,9636,6204,4700,101,2
2446,QLD,single,平衡型,1.32,kW,3,0.7333333333333334,1,kW,"原始推导 0.7kW，按规格向上取整，最终采用 1kW",132,%,6.6,kWh,2574,AUD,7332,4758,3605,7690,5116,3876,-358,2
2446,QLD,single,经济型,1.32,kW,3,0.7333333333333334,1,kW,"原始推导 0.7kW，按规格向上取整，最终采用 1kW",132,%,4.4,kWh,1872,AUD,5252,3380,2561,6007,4135,3132,-754,2
2447,QLD,single,高端型,0.00,kW,0,N/A,N/A,kW,"",0,%,0.0,kWh,0,AUD,0,0,0,0,0,0,0,0
2447,QLD,single,平衡型,0.00,kW,0,N/A,N/A,kW,"",0,%,0.0,kWh,0,AUD,0,0,0,0,0,0,0,0
2447,QLD,single,经济型,0.00,kW,0,N/A,N/A,kW,"",0,%,0.0,kWh,0,AUD,0,0,0,0,0,0,0,0
2448,QLD,single,高端型,1.32,kW,3,0.7333333333333334,1,kW,"原始推导 0.7kW，按规格向上取整，最终采用 1kW",132,%,9.1,kWh,3432,AUD,9738,6306,4777,9636,6204,4700,101,2
2448,QLD,single,平衡型,1.32,kW,3,0.7333333333333334,1,kW,"原始推导 0.7kW，按规格向上取整，最终采用 1kW",132,%,6.6,kWh,2574,AUD,7332,4758,3605,7690,5116,3876,-358,2
2448,QLD,single,经济型,1.32,kW,3,0.7333333333333334,1,kW,"原始推导 0.7kW，按规格向上取整，最终采用 1kW",132,%,4.4,kWh,1872,AUD,5252,3380,2561,6007,4135,3132,-754,2
2449,QLD,single,高端型,0.00,kW,0,N/A,N/A,kW,"",0,%,0.0,kWh,0,AUD,0,0,0,0,0,0,0,0
2449,QLD,single,平衡型,0.00,kW,0,N/A,N/A,kW,"",0,%,0.0,kWh,0,AUD,0,0,0,0,0,0,0,0
2449,QLD,single,经济型,0.00,kW,0,N/A,N/A,kW,"",0,%,0.0,kWh,0,AUD,0,0,0,0,0,0,0,0
2450,QLD,single,高端型,15.40,kW,35,8.555555555555555,9,kW,"原始推导 8.6kW，按规格向上取整，最终采用 9kW",171,%,23.1,kWh,13026,AUD,33899,20873,1355,29227,16201,1052,4672,5
2450,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,5
