house_id	calc_mode	state	phase	plan	plan_name	pv_model	pv_watt	pv_kw	panel_count	inverter_kw	ratio_percent	battery_nominal_kwh	battery_calculated_nominal_kwh	battery_is_standardized	battery_v4_bSurplus_used	battery_method	tax_total_aud	subsidy_aud	final_price_aud
4064	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4064	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	9.68	22	6	161	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	26628	9633	16995
4064	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	9.68	22	6	161	13.5	10.41	1	0.55	B: max(晚高峰, 0.55×剩余)	20443	7488	12955
4064	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4065	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	8.36	19	5	167	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	25536	9204	16332
4065	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	8.36	19	5	167	9.6	8.20	1	0.55	B: max(晚高峰, 0.55×剩余)	15640	5811	9829
4065	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4065	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	22829	8073	14756
4065	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	12933	4680	8253
4065	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	9.6	7.08	1	0.55	C: 晚高峰	12933	4680	8253
4066	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	19.36	44	10	194	50	40.61	1	0.55	A: max(整夜, 0.8×剩余)	62155	22542	39613
4066	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	13.20	30	8	165	20	16.69	1	0.55	B: max(晚高峰, 0.55×剩余)	29335	10764	18571
4066	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4066	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	11.00	25	7	157	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	27720	10062	17658
4066	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	10.12	23	6	169	13.5	11.17	1	0.55	B: max(晚高峰, 0.55×剩余)	20705	7605	13100
4066	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4067	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	14.96	34	9	166	30	28.89	1	0.55	A: max(整夜, 0.8×剩余)	40203	14625	25578
4067	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	10.12	23	6	169	13.5	11.17	1	0.55	B: max(晚高峰, 0.55×剩余)	20705	7605	13100
4067	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4067	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	9.68	22	6	161	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	26628	9633	16995
4067	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	9.68	22	6	161	13.5	10.41	1	0.55	B: max(晚高峰, 0.55×剩余)	20443	7488	12955
4067	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4068	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	19861	6786	13075
4068	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	9965	3393	6572
4068	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	9.6	7.08	1	0.55	C: 晚高峰	9965	3393	6572
4068	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	0.44	1	1	44	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	19599	6630	12969
4068	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	0.44	1	1	44	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	9704	3237	6467
4068	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	0.44	1	1	44	9.6	7.08	1	0.55	C: 晚高峰	9704	3237	6467
4069	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	2.64	6	2	132	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	21214	7332	13882
4069	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	2.64	6	2	132	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	11319	3939	7380
4069	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	2.64	6	2	132	9.6	7.08	1	0.55	C: 晚高峰	11319	3939	7380
4069	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	1.32	3	1	132	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	20122	6903	13219
4069	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	1.32	3	1	132	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	10226	3510	6716
4069	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	1.32	3	1	132	9.6	7.08	1	0.55	C: 晚高峰	10226	3510	6716
4070	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	1.76	4	1	176	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	20383	7059	13324
