项目类型,屋顶理论最大面板数量,方案,州领地,实际面板数量,光伏容量kW,逆变器功率kW,电池标称容量kWh,总投资成本AUD,电池更换成本AUD,年度用电量kWh,自用率百分比,回本周期月数,回本周期年数,贴现回本周期月数,贴现回本周期年数,IRR_20年
"新建系统","6","B","ACT","5","2.20","5","15.00","11532.85","12975.00","8632","95.68","237.1","19.76","N/A","N/A","0.20%"
"新建系统","6","B","NT","5","2.20","5","15.00","11532.85","12975.00","10008","96.63","235.6","19.64","N/A","N/A","0.30%"
"新建系统","6","C","NSW","5","2.20","1.5","2.15","2402.53","1861.08","7778","88.94","37.8","3.15","41.1","3.43","33.79%"
"新建系统","6","C","VIC","5","2.20","1.5","2.15","2402.53","1861.08","6778","83.50","40.3","3.36","44.2","3.68","31.91%"
"新建系统","6","C","QLD","5","2.20","1.5","2.15","2402.53","1861.08","7270","93.65","36.1","3.01","38.7","3.22","35.42%"
"新建系统","6","C","SA","5","2.20","1.5","2.15","2402.53","1861.08","7129","85.60","39.2","3.27","43.2","3.60","32.64%"
"新建系统","6","C","WA","5","2.20","1.5","2.15","2402.53","1861.08","7634","91.89","36.7","3.06","39.5","3.29","34.81%"
"新建系统","6","C","TAS","5","2.20","1.5","2.15","2402.53","1861.08","10148","96.46","35.2","2.93","37.6","3.13","36.39%"
"新建系统","6","C","ACT","5","2.20","1.5","2.15","2402.53","1861.08","8632","86.93","38.6","3.22","42.4","3.54","33.10%"
"新建系统","6","C","NT","5","2.20","1.5","2.15","2402.53","1861.08","10008","96.63","35.1","2.93","37.5","3.13","36.45%"
"新建系统","7","A","NSW","6","2.64","8","22.44","17237.08","19410.60","7778","95.39","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","VIC","6","2.64","8","22.44","17237.08","19410.60","6778","95.06","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","QLD","6","2.64","8","22.44","17237.08","19410.60","7270","95.49","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","SA","6","2.64","8","22.44","17237.08","19410.60","7129","95.20","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","WA","6","2.64","8","22.44","17237.08","19410.60","7634","95.56","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","TAS","6","2.64","8","22.44","17237.08","19410.60","10148","96.01","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","ACT","6","2.64","8","22.44","17237.08","19410.60","8632","95.25","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","NT","6","2.64","8","22.44","17237.08","19410.60","10008","96.23","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","B","NSW","6","2.64","5","15.00","11651.92","12975.00","7778","95.39","205.5","17.13","N/A","N/A","2.37%"
"新建系统","7","B","VIC","6","2.64","5","15.00","11651.92","12975.00","6778","95.06","206.0","17.17","N/A","N/A","2.34%"
"新建系统","7","B","QLD","6","2.64","5","15.00","11651.92","12975.00","7270","95.49","205.4","17.12","N/A","N/A","2.39%"
"新建系统","7","B","SA","6","2.64","5","15.00","11651.92","12975.00","7129","95.20","205.8","17.15","N/A","N/A","2.35%"
"新建系统","7","B","WA","6","2.64","5","15.00","11651.92","12975.00","7634","95.56","205.3","17.11","N/A","N/A","2.39%"
"新建系统","7","B","TAS","6","2.64","5","15.00","11651.92","12975.00","10148","96.01","204.7","17.06","N/A","N/A","2.44%"
"新建系统","7","B","ACT","6","2.64","5","15.00","11651.92","12975.00","8632","95.25","205.7","17.14","N/A","N/A","2.36%"
"新建系统","7","B","NT","6","2.64","5","15.00","11651.92","12975.00","10008","96.23","204.5","17.04","N/A","N/A","2.47%"
"新建系统","7","C","NSW","6","2.64","1.8","2.58","2906.44","2233.29","7778","82.28","41.3","3.44","45.2","3.77","31.26%"
"新建系统","7","C","VIC","6","2.64","1.8","2.58","2906.44","2233.29","6778","77.08","44.0","3.67","48.4","4.03","29.48%"
"新建系统","7","C","QLD","6","2.64","1.8","2.58","2906.44","2233.29","7270","86.16","39.2","3.26","43.1","3.59","32.59%"
"新建系统","7","C","SA","6","2.64","1.8","2.58","2906.44","2233.29","7129","79.23","43.0","3.58","47.1","3.92","30.21%"
"新建系统","7","C","WA","6","2.64","1.8","2.58","2906.44","2233.29","7634","84.77","39.9","3.33","43.9","3.66","32.11%"
"新建系统","7","C","TAS","6","2.64","1.8","2.58","2906.44","2233.29","10148","92.01","36.9","3.07","39.8","3.32","34.60%"
"新建系统","7","C","ACT","6","2.64","1.8","2.58","2906.44","2233.29","8632","80.44","42.4","3.53","46.3","3.86","30.63%"
"新建系统","7","C","NT","6","2.64","1.8","2.58","2906.44","2233.29","10008","95.12","35.9","2.99","38.4","3.20","35.66%"
"新建系统","8","A","NSW","7","3.08","8","22.44","17356.14","19410.60","7778","95.04","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","VIC","7","3.08","8","22.44","17356.14","19410.60","6778","94.73","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","QLD","7","3.08","8","22.44","17356.14","19410.60","7270","95.11","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","SA","7","3.08","8","22.44","17356.14","19410.60","7129","94.85","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","WA","7","3.08","8","22.44","17356.14","19410.60","7634","95.20","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","TAS","7","3.08","8","22.44","17356.14","19410.60","10148","95.64","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","ACT","7","3.08","8","22.44","17356.14","19410.60","8632","94.92","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","NT","7","3.08","8","22.44","17356.14","19410.60","10008","95.84","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","B","NSW","7","3.08","5","15.00","11770.98","12975.00","7778","95.04","182.1","15.17","N/A","N/A","4.33%"
"新建系统","8","B","VIC","7","3.08","5","15.00","11770.98","12975.00","6778","94.73","182.5","15.21","N/A","N/A","4.29%"
"新建系统","8","B","QLD","7","3.08","5","15.00","11770.98","12975.00","7270","95.11","182.0","15.17","N/A","N/A","4.34%"
"新建系统","8","B","SA","7","3.08","5","15.00","11770.98","12975.00","7129","94.85","182.3","15.19","N/A","N/A","4.31%"
"新建系统","8","B","WA","7","3.08","5","15.00","11770.98","12975.00","7634","95.20","181.9","15.16","N/A","N/A","4.35%"
"新建系统","8","B","TAS","7","3.08","5","15.00","11770.98","12975.00","10148","95.64","181.4","15.11","N/A","N/A","4.40%"
